name,html_url
heyAyushh,https://github.com/MichaelDeBoey/gatsby-remark-embedder/issues/82
jlwt90,https://github.com/pretix/pretix/issues/381
srshah19,https://github.com/unional/aurelia-logging-color/issues/2
Xaseron,https://github.com/Azure/phippyandfriends/issues/44
prasunanand,https://github.com/dask/dask-ml/issues/607
super9mega,https://github.com/syncthing/syncthing-android/issues/832
attrib75,https://github.com/dotnet/aspnetcore/issues/18729
deggesim,https://github.com/CQUI-Org/cqui/issues/232
oliverdunk,https://github.com/babel/babel/issues/11084
swmiao,https://github.com/wuhan2020/wuhan2020.github.io/issues/79
b-z,https://github.com/scikit-image/scikit-image/issues/4431
shcherbin,https://github.com/dask/dask/issues/5857
rislamiranda,https://github.com/DadosAbertosDeFeira/maria-quiteria/issues/43
Rohanhacker,https://github.com/fossasia/flappy-svg/issues/239
vamshi-tg,https://github.com/taniarascia/takenote/issues/220
Ravit436,https://github.com/fastify/fastify/issues/2070
lukahartwig,https://github.com/denoland/deno/issues/3848
JosephTLucas,https://github.com/ray-project/ray/issues/6993
maisnamrajusingh,https://github.com/mattermost/mattermost-plugin-github/issues/182
Utkichaps,https://github.com/treehouses/treehouses.github.io/issues/406
receek,https://github.com/iiuni/projektzapisy/issues/825
mercanil,https://github.com/line/armeria/issues/2434
cnguy,https://github.com/geometry-zsh/geometry/issues/61
jmintb,https://github.com/syncthing/syncthing-android/issues/807
BAGELreflex,https://github.com/simplesamlphp/simplesamlphp/issues/1272
jmintb,https://github.com/syncthing/syncthing-android/issues/804
czert,https://github.com/apollographql/graphql-tag/issues/27
recamshak,https://github.com/scikit-learn/scikit-learn/issues/8003
vincentpham1991,https://github.com/scikit-learn/scikit-learn/issues/7983
loretoparisi,https://github.com/RaRe-Technologies/gensim/issues/1035
lpolito,https://github.com/jaredpalmer/tsdx/issues/432
wikro,https://github.com/cloudalchemy/ansible-alertmanager/issues/111
jheuel,https://github.com/lhcb/first-analysis-steps/issues/210
tpaschalis,https://github.com/hashicorp/consul/issues/7070
rishumehrotra,https://github.com/testcontainers/testcontainers-java/issues/2253
vineetg3,https://github.com/einsteinpy/einsteinpy/issues/373
nightah,https://github.com/badges/shields/issues/4530
mthorrell,https://github.com/scikit-learn/scikit-learn/issues/7908
alexandercbooth,https://github.com/scikit-learn/scikit-learn/issues/7875
shashankg7,https://github.com/RaRe-Technologies/gensim/issues/1009
p-jackson,https://github.com/WordPress/gutenberg/issues/19671
danielbarkhorn,https://github.com/scikit-learn/scikit-learn/issues/7845
janisz,https://github.com/dgraph-io/badger/issues/1196
kaizencodes,https://github.com/shakacode/react-webpack-rails-tutorial/issues/336
Suyash458,https://github.com/ros2/rclpy/issues/496
christyjacob4,https://github.com/linkerd/linkerd2/issues/3928
kohsheen1234,https://github.com/linkerd/linkerd2/issues/3927
christiansafka,https://github.com/javaparser/javaparser/issues/526
tommytomtj,https://github.com/Code4PuertoRico/suministrospr/issues/43
ditenberg,https://github.com/scikit-learn/scikit-learn/issues/7772
Guillem96,https://github.com/google/jax/issues/1999
MarcoGorelli,https://github.com/scikit-learn/scikit-learn/issues/7757
kiote,https://github.com/scikit-learn/scikit-learn/issues/7752
dragneelfps,https://github.com/kotest/kotest/issues/1156
crm114,https://github.com/Code4PuertoRico/suministrospr/issues/35
kerdrek,https://github.com/microsoft/perfview/issues/132
Ashniu123,https://github.com/mattermost/mattermost-plugin-todo/issues/24
DeKaN,https://github.com/pyconsk/django-konfera/issues/174
kaushlakers,https://github.com/scikit-learn/scikit-learn/issues/7712
kwross,https://github.com/swcarpentry/shell-novice/issues/1082
ivaibhavjindal,https://github.com/sidntrivedi012/odin/issues/11
gabru-md,https://github.com/dgraph-io/badger/issues/1193
polmauri,https://github.com/scikit-learn/scikit-learn/issues/7681
noise-field,https://github.com/RaRe-Technologies/gensim/issues/955
Akash-Pardasani,https://github.com/cltk/cltk/issues/410
sacgrover,https://github.com/angular/angular/issues/34762
amanbora,https://github.com/bazelbuild/bazel/issues/10574
demmsnt,https://github.com/aio-libs/aiohttp/issues/1306
EmilLuta,https://github.com/stopstalk/stopstalk-deployment/issues/149
becdetat,https://github.com/woocommerce/woocommerce-admin/issues/3553
d1618033,https://github.com/pandas-dev/pandas/issues/30974
srivatsan-ramesh,https://github.com/scikit-learn/scikit-learn/issues/7639
aashil,https://github.com/scikit-learn/scikit-learn/issues/7630
affanv14,https://github.com/scikit-learn/scikit-learn/issues/7628
mimmon,https://github.com/pyconsk/django-konfera/issues/157
saloni30agr,https://github.com/pandas-dev/pandas/issues/30964
bartier,https://github.com/elastic/rally/issues/866
nayana-vinod,https://github.com/microsoft/vscode-python/issues/9557
yesil,https://github.com/adobe/aio-cli-plugin-runtime/issues/97
jkarno,https://github.com/scikit-learn/scikit-learn/issues/7581
LaisaLI,https://github.com/numpy/numpy/issues/15321
jubrilissa,https://github.com/pyconsk/django-konfera/issues/120
Ash031,https://github.com/pokeclicker/pokeclicker/issues/548
scrotty,https://github.com/CleverRaven/Cataclysm-DDA/issues/36988
sourabh1024,https://github.com/pyconsk/django-konfera/issues/116
khaledkee,https://github.com/stopstalk/stopstalk-deployment/issues/139
ryym,https://github.com/stylelint/stylelint/issues/4544
muzakparov,https://github.com/excalidraw/excalidraw/issues/344
JungeAlexander,https://github.com/scikit-learn/scikit-learn/issues/7533
mc4229,https://github.com/scikit-learn/scikit-learn/issues/7528
iamprakashom,https://github.com/scikit-learn/scikit-learn/issues/7512
melgenek,https://github.com/aws/aws-cdk/issues/5763
sachin-101,https://github.com/OpenMined/PySyft/issues/2897
MahamZafar,https://github.com/fossasia/flappy-svg/issues/64
ShivangGoswami,https://github.com/kubernetes/website/issues/18615
Morikko,https://github.com/scikit-learn/scikit-learn/issues/6276
TristanCacqueray,https://github.com/operator-framework/operator-sdk/issues/2384
ChanghunKang,https://github.com/elastic/kibana/issues/54446
lukas-krecan,https://github.com/cityvizor/cityvizor/issues/113
efefre,https://github.com/watchdogpolska/small_eod/issues/122
rebeccajae,https://github.com/open-telemetry/opentelemetry-go/issues/425
gmilos,https://github.com/apple/swift-nio/issues/1334
